Dados Sazonais para o Brasil,,,,,,,,,,,,,,,
Ano,Parâmetros,Unidades,Mês,,,,,,,,,,,,Média Anual
,,,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,
2006,FE do SIN,tCO2/MWh,"0,0322","0,0346","0,0337","0,0275","0,0317","0,0306","0,0351","0,0336","0,0383","0,036","0,0265","0,028","0,0323"
2006e,% etanol na gasolina,%,25%,25%,20%,20%,20%,20%,20%,20%,20%,20%,21%,23%,"21,17%"
2006d,% biodiesel no diesel,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"0,00%"
2007,FE do SIN,tCO2/MWh,"0,0229","0,0195","0,0195","0,0197","0,0161","0,0256","0,031","0,0324","0,0355","0,0377","0,0406","0,0496","0,0293"
2007e,% etanol na gasolina,%,23%,23%,23%,23%,23%,23%,25%,25%,25%,25%,25%,25%,"24,00%"
2007d,% biodiesel no diesel,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"0,00%"
2008,FE do SIN,tCO2/MWh,"0,0584","0,0668","0,0599","0,0453","0,0459","0,0521","0,0437","0,0425","0,0411","0,0438","0,0334","0,0477","0,0484"
2008e,% etanol na gasolina,%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,"25,00%"
2008d,% biodiesel no diesel,%,2%,2%,2%,2%,2%,2%,3%,3%,3%,3%,3%,3%,3%
2009,FE do SIN,tCO2/MWh,"0,0281","0,0237","0,0247","0,0245","0,0405","0,0369","0,0241","0,0199","0,0162","0,0179","0,0181","0,0194","0,0246"
2009e,% etanol na gasolina,%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,"25,00%"
2009d,% biodiesel no diesel,%,3%,3%,3%,3%,3%,3%,4%,4%,4%,4%,4%,4%,"3,50%"
2010,FE do SIN,tCO2/MWh,"0,0211","0,028","0,0243","0,0238","0,0341","0,0506","0,0435","0,0774","0,0907","0,0817","0,0869","0,0532","0,0513"
2010e,% etanol na gasolina,%,25%,20%,20%,20%,25%,25%,25%,25%,25%,25%,25%,25%,"23,80%"
2010d,% biodiesel no diesel,%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
2011,FE do SIN,tCO2/MWh,"0,0262","0,0288","0,0208","0,0198","0,027","0,0341","0,0308","0,0301","0,0273","0,035","0,0356","0,0349","0,0292"
